csv_id,question,question_type,improved_question,gold_answer,gold_choice,is_correct,cause_event,outcome_base,predicted_answer,predicted_choice,error
1,"suppose more pressure underground happens, how will it affect less cracks occur.",INPARA_EFFECT,"Will more pressure underground cause more cracks, less cracks, or have no effect?",less,B,True,more pressure underground happens,Crack frequency,,,
2,"suppose the heat rises happens, how will it affect greater precipitations will happen.",EXOGENOUS_EFFECT,"Will an increase in surface heat cause more precipitation, less precipitation, or have no effect?",more,A,True,the heat rises happens,Precipitation intensity,,,
3,"suppose excavate a hole for a pumpkin seed happens, how will it affect the ground is too hard to dig a hole.",INPARA_EFFECT,"Will excavating a hole for a pumpkin seed cause more difficulty in digging a hole, less difficulty, or have no effect?",less,B,False,excavate a hole for a pumpkin seed happens,Soil Digability,,,
4,"suppose the specific place is not on a fault line happens, how will it affect smaller mountains.",EXOGENOUS_EFFECT,"Will a location not being on a fault line cause more smaller mountains, fewer smaller mountains, or have no effect?",more,A,True,the specific place is not on a fault line happens,Small mountain range,,,
5,"suppose there will be less eggs to hatch happens, how will it affect there will be more tadpoles.",INPARA_EFFECT,"Will fewer eggs hatching cause more tadpoles, less tadpoles, or have no effect?",less,B,True,there will be less eggs to hatch happens,tadpole abundance,,,
6,"suppose tectonic plates crash with each other on the surface happens, how will it affect larger mountains.",INPARA_EFFECT,"Will tectonic plates colliding on the surface cause more mountain growth, less mountain growth, or have no effect?",more,A,True,tectonic plates crash with each other on the surface happens,Mountain size,,,
7,"suppose the kidney work less efficiently happens, how will it affect less waste being removed from the body.",INPARA_EFFECT,"Will decreased kidney efficiency cause more waste to remain in the body, less waste to remain, or have no effect?",more,A,True,the kidney work less efficiently happens,Body Waste Elimination,,,
8,"suppose going through a drought happens, how will it affect more water drops fall back to earth.",EXOGENOUS_EFFECT,"Will a drought cause more water to fall back as drops, less water to fall back as drops, or have no effect?",less,B,True,going through a drought happens,Water droplet reentry,,,
9,"suppose magma turns into lava in a volcano happens, how will it affect more igneous rock forming.",INPARA_EFFECT,"Will magma turning into lava in a volcano cause more igneous rock, less igneous rock, or have no effect?",less,B,False,magma turns into lava in a volcano happens,Igneous rock formation,,,
10,"suppose more water falls back to earth happens, how will it affect a more intense water cycle.",INPARA_EFFECT,"Will more water falling back to Earth cause the water cycle to be more intense, less intense, or have no effect?",less,B,False,more water falls back to earth happens,Intense water cycle,,,
11,"suppose less rock available happens, how will it affect more lava occurs.",EXOGENOUS_EFFECT,"Will having less rock available cause more lava to occur, less lava to occur, or have no effect?",less,B,False,less rock available,lava occurrence,,,
12,"suppose if oil is dumped in the water happens, how will it affect more eggs can be hatched.",EXOGENOUS_EFFECT,"Will dumping oil into the water cause more frog eggs to hatch, less frog eggs to hatch, or have no effect?",less,B,True,oil is dumped in the water happens,Egg hatching,,,
13,"suppose less frog eggs are laid happens, how will it affect less tadpoles break free.",INPARA_EFFECT,"Will fewer frog eggs being laid cause more, less, or no effect on the number of tadpoles breaking free?",less,B,False,less frog eggs are laid happens,Tadpole freedom event,,,
14,"suppose some of the tadpoles are eaten happens, how will it affect more tadpoles turn into frogs.",EXOGENOUS_EFFECT,"Will some tadpoles being eaten cause more, less, or no effect in the number of tadpoles that turn into frogs?",less,B,True,some of the tadpoles are eaten happens,Frog metamorphosis,,,
15,"suppose new frogs are introduced more frequently in the pond happens, how will it affect more cross breeding among frog families will occur.",INPARA_EFFECT,"Will introducing new frogs more frequently into the pond cause more, less, or have no effect on cross-breeding among frog families?",less,B,False,new frogs are introduced more frequently in the pond happens,Frog cross-breeding,,,
16,"suppose fewer adolescent fish grow happens, how will it affect more adult fish are able to lay more eggs.",INPARA_EFFECT,"Will fewer adolescent fish maturing cause more, less, or no effect on the number of adult fish able to lay eggs?",less,B,True,fewer adolescent fish grow happens,Adult fish egg production,,,
17,"suppose people build more cities happens, how will it affect less tadpoles develop limbs.",EXOGENOUS_EFFECT,"Will building more cities cause more tadpoles to develop limbs, fewer tadpoles to develop limbs, or have no effect?",more,A,True,people build more cities,Tadpole limb development,,,
18,"suppose the precedence of the fertilizer is unknown happens, how will it affect crops will die.",EXOGENOUS_EFFECT,"Will changing the order of fertilizer application in the planting process cause more crops to die, fewer crops to die, or have no effect?",more,A,True,the precedence of the fertilizer is unknown happens,Crop death,,,
19,"suppose chemicals in the strand break up the helix happens, how will it affect hurting the dna to replicate properly.",INPARA_EFFECT,"Will the breaking of the DNA helix by chemicals cause more failure, less failure, or have no effect on proper replication?",less,B,False,chemicals in the strand break up the helix happens,DNA replication inhibition,,,
20,"suppose less earthquakes happen happens, how will it affect smaller mountains.",INPARA_EFFECT,"Will fewer earthquakes happening cause more smaller mountains, fewer smaller mountains, or have no effect?",more,A,False,less earthquakes happen,Small mountain range,,,
21,"suppose more frogs jump from other areas happens, how will it affect more frogs will have more mates..",EXOGENOUS_EFFECT,"Will an influx of frogs from other areas cause the number of mates per frog to be more, less, or have no effect?",less,B,False,more frogs jump from other areas happens,Frog mating frequency,,,
22,"suppose during boiling point happens, how will it affect less evaporation.",EXOGENOUS_EFFECT,"Will reaching the boiling point cause more evaporation, less evaporation, or have no effect?",less,B,True,during boiling point happens,Evaporation Reduction,,,
23,"suppose there are fewer predators happens, how will it affect more fish.",INPARA_EFFECT,"Will a decrease in predators cause more adult fish, fewer adult fish, or have no effect?",more,A,False,there are fewer predators happens,Fish population,,,
24,"suppose bees do not visit flowers as often happens, how will it affect less flowers being pollinated.",INPARA_EFFECT,"Will bees not visiting flowers as often cause more unpollinated flowers, fewer unpollinated flowers, or have no effect?",more,A,True,bees do not visit flowers as often happens,Pollination reduction,,,
25,"suppose you have less time to water the plant happens, how will it affect the pumpkin plant grows less.",EXOGENOUS_EFFECT,"Will having less time to water the plant cause more instances of the plant drying out, fewer instances of the plant drying out, or have no effect?",more,A,True,you have less time to water the plant happens,Growth rate,,,
26,"suppose bees become extinct happens, how will it affect more flowers being pollinated.",EXOGENOUS_EFFECT,"Will the extinction of bees cause more flower pollination, less flower pollination, or have no effect?",less,B,True,bees become extinct,Flower pollination,,,
27,"suppose adult frog lays egg into water happens, how will it affect there is no frog to lay eggs.",INPARA_EFFECT,"Will the absence of adult frogs laying eggs cause more frog population, less frog population, or have no effect?",less,B,True,adult frog lays egg into water happens,Frog egg absence,,,
28,"suppose tectonic plates move more happens, how will it affect larger mountains.",INPARA_EFFECT,"Will increased movement of tectonic plates cause more, less, or no effect on the formation of large mountains?",less,B,False,tectonic plates move more,Mountain size,,,
29,"suppose frogs are brought in on eggs in new boats happens, how will it affect more frogs will be more fertile.",EXOGENOUS_EFFECT,"Will introducing frogs via eggs on new boats cause more frogs to be produced, fewer frogs to be produced, or have no effect?",more,A,True,frogs are brought in on eggs in new boats happens,Frog fertility,,,
30,"suppose less cracks form happens, how will it affect larger mountains.",INPARA_EFFECT,"Will fewer cracks forming cause more formation of larger mountains, less formation of larger mountains, or have no effect?",less,B,False,less cracks form happens,Mountain size,,,
31,"suppose more tadpoles loose their tail happens, how will it affect more tadpoles develop limbs.",INPARA_EFFECT,"Will more tadpoles losing their tails cause more tadpoles to develop limbs, fewer tadpoles to develop limbs, or have no effect?",more,A,False,more tadpoles loose their tail happens,Tadpole limb development,,,
32,"suppose pollen sticks to a flower happens, how will it affect there is no flower to pollinate.",INPARA_EFFECT,"Will pollen sticking to the flower cause more pollination, less pollination, or have no effect?",less,B,True,pollen sticks to a flower happens,Pollination absence,,,
33,"suppose there are fewer eruptions happens, how will it affect moe volcanoes are formed.",INPARA_EFFECT,"Will fewer volcanic eruptions cause more volcanoes to form, fewer volcanoes to form, or have no effect?",less,B,True,fewer eruptions happens,Volcano formation,,,
34,"suppose less volcanoes erupt happens, how will it affect less volcanic mountains are formed.",INPARA_EFFECT,"Will fewer volcanic eruptions cause more volcanic mountains to form, fewer volcanic mountains to form, or have no effect?",more,A,True,less volcanoes erupt happens,Volcanic mountain formation,,,
